"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL116977";"";"";"Small molecule";"";"385.90";"7";"7";"2.75";"45.78";"6";"0";"0";"5";"N";"0.68";"None";"7.40";"3.55";"3.25";"3";"MOL";"-1";"27";"6";"0";"0";"385.1669";"-2.38";"NEUTRAL";"C20H24ClN5O";"CC1CN(CCCn2nc3ccccn3c2=O)CCN1c1cccc(Cl)c1";"JEZUUZZPUBFISZ-UHFFFAOYSA-N"
"CHEMBL100531";"";"";"Small molecule";"";"225.29";"1";"1";"1.47";"39.72";"4";"1";"0";"6";"N";"0.80";"None";"10.03";"1.35";"-1.19";"1";"MOL";"-1";"16";"4";"1";"0";"225.1365";"0.44";"BASE";"C12H19NO3";"CNCCc1cc(OC)c(OC)c(OC)c1";"OTXANOLOOUNVSR-UHFFFAOYSA-N"
"CHEMBL278663";"PARA-METHOXYAMPHETAMINE";"beta-methoxyamphetamine|para-Methoxyamphetamine";"Small molecule";"";"165.24";"75";"90";"1.58";"35.25";"2";"1";"0";"3";"Y";"0.74";"None";"10.04";"1.65";"-0.85";"1";"MOL";"-1";"12";"2";"2";"0";"165.1154";"-0.02";"BASE";"C10H15NO";"COc1ccc(CC(C)N)cc1";"NEGYEDYHPHMHGK-UHFFFAOYSA-N"
"CHEMBL8301";"";"";"Small molecule";"";"240.26";"6";"13";"1.50";"87.62";"5";"1";"0";"5";"N";"0.62";"None";"9.82";"1.43";"-0.90";"1";"MOL";"-1";"17";"6";"2";"0";"240.1110";"-0.47";"BASE";"C11H16N2O4";"COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N";"JQJRESSXOVAECC-UHFFFAOYSA-N"
"CHEMBL539325";"";"";"Small molecule";"";"281.83";"2";"2";"3.30";"23.47";"2";"1";"0";"2";"N";"0.86";"10.56";"9.55";"3.36";"1.43";"1";"MOL";"-1";"18";"2";"1";"0";"245.1780";"0.52";"BASE";"C16H24ClNO";"CCCN1CCC[C@@H]2c3c(O)cccc3CC[C@H]21.Cl";"GLMIDQMUGFEEIL-LMRHVHIWSA-N"
"CHEMBL21083";"";"";"Small molecule";"";"267.17";"1";"1";"3.03";"19.03";"1";"1";"0";"3";"N";"0.91";"None";"9.54";"3.07";"0.95";"2";"MOL";"-1";"15";"2";"1";"0";"266.0419";"-0.35";"BASE";"C12H15BrN2";"CN(C)CCc1c[nH]c2c(Br)cccc12";"AIGRKPCJNQCZCI-UHFFFAOYSA-N"
"CHEMBL89738";"";"1,2,3,4,8,9,10,11,12,13-Decahydrocycloocta[B][1,4]Diazepino[6,7,1-Hi]Indole";"Small molecule";"";"254.38";"8";"12";"3.40";"16.96";"2";"1";"0";"0";"N";"0.76";"None";"8.97";"3.79";"2.22";"2";"MOL";"-1";"19";"2";"1";"0";"254.1783";"-0.36";"BASE";"C17H22N2";"c1cc2c3c(c1)c1c(n3CCNC2)CCCCCC1";"FEOKYCHGJRHIDE-UHFFFAOYSA-N"
"CHEMBL1743966";"";"";"Small molecule";"";"426.90";"3";"6";"4.21";"41.05";"5";"1";"0";"3";"N";"0.73";"None";"8.72";"5.13";"3.79";"3";"MOL";"-1";"27";"4";"1";"0";"390.1126";"-1.54";"BASE";"C19H18ClF3N4S";"Cl.FC(F)(F)c1ccc2nc(N3CCNCC3)c(Sc3ccccc3)nc2c1";"NQXYIFMEVZWYHH-UHFFFAOYSA-N"
"CHEMBL330849";"";"";"Small molecule";"";"305.49";"5";"9";"3.57";"23.47";"3";"1";"0";"4";"N";"0.92";"10.60";"9.90";"3.70";"1.58";"1";"MOL";"-1";"21";"2";"1";"0";"305.1813";"0.69";"BASE";"C18H27NOS";"CCCN1C[C@@H](CSC)C[C@@H]2Cc3c(O)cccc3C[C@H]21";"PVCUJTUPCCESKR-YSVLISHTSA-N"
"CHEMBL101036";"";"2-(4-Methoxyphenyl)Ethylamine";"Small molecule";"";"151.21";"4";"7";"1.20";"35.25";"2";"1";"0";"3";"Y";"0.70";"None";"9.82";"1.23";"-1.10";"1";"MOL";"-1";"11";"2";"2";"0";"151.0997";"0.09";"BASE";"C9H13NO";"COc1ccc(CCN)cc1";"LTPVSOCPYWDIFU-UHFFFAOYSA-N"
"CHEMBL1788278";"";"";"Small molecule";"";"240.26";"4";"10";"1.50";"87.62";"5";"1";"0";"5";"N";"0.62";"None";"9.82";"1.43";"-0.90";"1";"MOL";"-1";"17";"6";"2";"0";"240.1110";"-0.47";"BASE";"C11H16N2O4";"COc1cc([N+](=O)[O-])c(OC)cc1C[C@@H](C)N";"JQJRESSXOVAECC-SSDOTTSWSA-N"
